customer_id,name,age,location,acquisition_channel,lifetime_value,signup_date
C0001,Customer 1,23,Pune,Google,1510,2025-01-01
C0002,Customer 2,24,Hyderabad,Meta,1820,2025-01-06
C0003,Customer 3,25,Delhi,Referral,2130,2025-01-11
C0004,Customer 4,26,Bengaluru,Organic,2440,2025-01-16
C0005,Customer 5,27,Mumbai,Google,2750,2025-01-21
C0006,Customer 6,28,Pune,Meta,3060,2025-01-26
C0007,Customer 7,29,Hyderabad,Referral,3370,2025-01-31
C0008,Customer 8,30,Delhi,Organic,3680,2025-02-05
C0009,Customer 9,31,Bengaluru,Google,3990,2025-02-10
C0010,Customer 10,32,Mumbai,Meta,4300,2025-02-15
C0011,Customer 11,33,Pune,Referral,4610,2025-02-20
C0012,Customer 12,34,Hyderabad,Organic,4920,2025-02-25
C0013,Customer 13,35,Delhi,Google,5230,2025-03-02
C0014,Customer 14,36,Bengaluru,Meta,5540,2025-03-07
C0015,Customer 15,37,Mumbai,Referral,5850,2025-03-12
C0016,Customer 16,38,Pune,Organic,6160,2025-03-17
C0017,Customer 17,39,Hyderabad,Google,6470,2025-03-22
C0018,Customer 18,40,Delhi,Meta,6780,2025-03-27
C0019,Customer 19,41,Bengaluru,Referral,7090,2025-04-01
C0020,Customer 20,42,Mumbai,Organic,7400,2025-04-06
C0021,Customer 21,43,Pune,Google,7710,2025-04-11
C0022,Customer 22,44,Hyderabad,Meta,8020,2025-04-16
C0023,Customer 23,45,Delhi,Referral,8330,2025-04-21
C0024,Customer 24,46,Bengaluru,Organic,8640,2025-04-26
C0025,Customer 25,47,Mumbai,Google,8950,2025-05-01
C0026,Customer 26,48,Pune,Meta,9260,2025-05-06
C0027,Customer 27,49,Hyderabad,Referral,9570,2025-05-11
C0028,Customer 28,50,Delhi,Organic,9880,2025-05-16
C0029,Customer 29,51,Bengaluru,Google,10190,2025-05-21
C0030,Customer 30,22,Mumbai,Meta,10500,2025-05-26
C0031,Customer 31,23,Pune,Referral,10810,2025-05-31
C0032,Customer 32,24,Hyderabad,Organic,11120,2025-06-05
C0033,Customer 33,25,Delhi,Google,11430,2025-06-10
C0034,Customer 34,26,Bengaluru,Meta,11740,2025-06-15
C0035,Customer 35,27,Mumbai,Referral,12050,2025-06-20
C0036,Customer 36,28,Pune,Organic,12360,2025-06-25
C0037,Customer 37,29,Hyderabad,Google,12670,2025-06-30
C0038,Customer 38,30,Delhi,Meta,12980,2025-07-05
C0039,Customer 39,31,Bengaluru,Referral,13290,2025-07-10
C0040,Customer 40,32,Mumbai,Organic,13600,2025-07-15
C0041,Customer 41,33,Pune,Google,13910,2025-07-20
C0042,Customer 42,34,Hyderabad,Meta,14220,2025-07-25
C0043,Customer 43,35,Delhi,Referral,14530,2025-07-30
C0044,Customer 44,36,Bengaluru,Organic,14840,2025-08-04
C0045,Customer 45,37,Mumbai,Google,15150,2025-08-09
C0046,Customer 46,38,Pune,Meta,15460,2025-08-14
C0047,Customer 47,39,Hyderabad,Referral,15770,2025-08-19
C0048,Customer 48,40,Delhi,Organic,16080,2025-08-24
C0049,Customer 49,41,Bengaluru,Google,16390,2025-08-29
C0050,Customer 50,42,Mumbai,Meta,16700,2025-09-03
C0051,Customer 51,43,Pune,Referral,17010,2025-09-08
C0052,Customer 52,44,Hyderabad,Organic,17320,2025-09-13
C0053,Customer 53,45,Delhi,Google,17630,2025-09-18
C0054,Customer 54,46,Bengaluru,Meta,17940,2025-09-23
C0055,Customer 55,47,Mumbai,Referral,18250,2025-09-28
C0056,Customer 56,48,Pune,Organic,18560,2025-10-03
C0057,Customer 57,49,Hyderabad,Google,18870,2025-10-08
C0058,Customer 58,50,Delhi,Meta,19180,2025-10-13
C0059,Customer 59,51,Bengaluru,Referral,19490,2025-10-18
C0060,Customer 60,22,Mumbai,Organic,19800,2025-10-23
C0061,Customer 61,23,Pune,Google,20110,2025-10-28
C0062,Customer 62,24,Hyderabad,Meta,20420,2025-11-02
C0063,Customer 63,25,Delhi,Referral,20730,2025-11-07
C0064,Customer 64,26,Bengaluru,Organic,21040,2025-11-12
C0065,Customer 65,27,Mumbai,Google,21350,2025-11-17
C0066,Customer 66,28,Pune,Meta,21660,2025-11-22
C0067,Customer 67,29,Hyderabad,Referral,21970,2025-11-27
C0068,Customer 68,30,Delhi,Organic,22280,2025-12-02
C0069,Customer 69,31,Bengaluru,Google,22590,2025-12-07
C0070,Customer 70,32,Mumbai,Meta,22900,2025-12-12
C0071,Customer 71,33,Pune,Referral,23210,2025-12-17
C0072,Customer 72,34,Hyderabad,Organic,23520,2025-12-22
C0073,Customer 73,35,Delhi,Google,23830,2025-12-27
C0074,Customer 74,36,Bengaluru,Meta,24140,2026-01-01
C0075,Customer 75,37,Mumbai,Referral,24450,2026-01-06
C0076,Customer 76,38,Pune,Organic,24760,2026-01-11
C0077,Customer 77,39,Hyderabad,Google,25070,2026-01-16
C0078,Customer 78,40,Delhi,Meta,25380,2026-01-21
C0079,Customer 79,41,Bengaluru,Referral,25690,2026-01-26
C0080,Customer 80,42,Mumbai,Organic,26000,2026-01-31
C0081,Customer 81,43,Pune,Google,26310,2026-02-05
C0082,Customer 82,44,Hyderabad,Meta,26620,2026-02-10
C0083,Customer 83,45,Delhi,Referral,26930,2026-02-15
C0084,Customer 84,46,Bengaluru,Organic,27240,2026-02-20
C0085,Customer 85,47,Mumbai,Google,27550,2026-02-25
C0086,Customer 86,48,Pune,Meta,27860,2026-03-02
C0087,Customer 87,49,Hyderabad,Referral,28170,2026-03-07
C0088,Customer 88,50,Delhi,Organic,28480,2026-03-12
C0089,Customer 89,51,Bengaluru,Google,28790,2026-03-17
C0090,Customer 90,22,Mumbai,Meta,29100,2026-03-22
C0091,Customer 91,23,Pune,Referral,29410,2026-03-27
C0092,Customer 92,24,Hyderabad,Organic,29720,2026-04-01
C0093,Customer 93,25,Delhi,Google,30030,2026-04-06
C0094,Customer 94,26,Bengaluru,Meta,30340,2026-04-11
C0095,Customer 95,27,Mumbai,Referral,30650,2026-04-16
C0096,Customer 96,28,Pune,Organic,30960,2026-04-21
C0097,Customer 97,29,Hyderabad,Google,31270,2026-04-26
C0098,Customer 98,30,Delhi,Meta,31580,2026-05-01
C0099,Customer 99,31,Bengaluru,Referral,31890,2026-05-06
C0100,Customer 100,32,Mumbai,Organic,32200,2026-05-11
