interaction_id,customer_id,timestamp,stage,channel,converted
I00001,C0002,2026-08-02,Website Visit,Meta,0
I00002,C0003,2026-08-03,Product View,Email,0
I00003,C0004,2026-08-04,Add to Cart,Organic,0
I00004,C0005,2026-08-05,Purchase,Google,0
I00005,C0006,2026-08-06,Repeat Purchase,Meta,1
I00006,C0007,2026-08-07,Loyal Customer,Email,0
I00007,C0008,2026-08-08,Awareness,Organic,0
I00008,C0009,2026-08-09,Website Visit,Google,0
I00009,C0010,2026-08-10,Product View,Meta,0
I00010,C0011,2026-08-11,Add to Cart,Email,1
I00011,C0012,2026-08-12,Purchase,Organic,0
I00012,C0013,2026-08-13,Repeat Purchase,Google,0
I00013,C0014,2026-08-14,Loyal Customer,Meta,0
I00014,C0015,2026-08-15,Awareness,Email,0
I00015,C0016,2026-08-16,Website Visit,Organic,1
I00016,C0017,2026-08-17,Product View,Google,0
I00017,C0018,2026-08-18,Add to Cart,Meta,0
I00018,C0019,2026-08-19,Purchase,Email,0
I00019,C0020,2026-08-20,Repeat Purchase,Organic,0
I00020,C0021,2026-08-21,Loyal Customer,Google,1
I00021,C0022,2026-08-22,Awareness,Meta,0
I00022,C0023,2026-08-23,Website Visit,Email,0
I00023,C0024,2026-08-24,Product View,Organic,0
I00024,C0025,2026-08-25,Add to Cart,Google,0
I00025,C0026,2026-08-26,Purchase,Meta,1
I00026,C0027,2026-08-27,Repeat Purchase,Email,0
I00027,C0028,2026-08-28,Loyal Customer,Organic,0
I00028,C0029,2026-08-29,Awareness,Google,0
I00029,C0030,2026-08-30,Website Visit,Meta,0
I00030,C0031,2026-08-01,Product View,Email,1
I00031,C0032,2026-08-02,Add to Cart,Organic,0
I00032,C0033,2026-08-03,Purchase,Google,0
I00033,C0034,2026-08-04,Repeat Purchase,Meta,0
I00034,C0035,2026-08-05,Loyal Customer,Email,0
I00035,C0036,2026-08-06,Awareness,Organic,1
I00036,C0037,2026-08-07,Website Visit,Google,0
I00037,C0038,2026-08-08,Product View,Meta,0
I00038,C0039,2026-08-09,Add to Cart,Email,0
I00039,C0040,2026-08-10,Purchase,Organic,0
I00040,C0041,2026-08-11,Repeat Purchase,Google,1
I00041,C0042,2026-08-12,Loyal Customer,Meta,0
I00042,C0043,2026-08-13,Awareness,Email,0
I00043,C0044,2026-08-14,Website Visit,Organic,0
I00044,C0045,2026-08-15,Product View,Google,0
I00045,C0046,2026-08-16,Add to Cart,Meta,1
I00046,C0047,2026-08-17,Purchase,Email,0
I00047,C0048,2026-08-18,Repeat Purchase,Organic,0
I00048,C0049,2026-08-19,Loyal Customer,Google,0
I00049,C0050,2026-08-20,Awareness,Meta,0
I00050,C0051,2026-08-21,Website Visit,Email,1
I00051,C0052,2026-08-22,Product View,Organic,0
I00052,C0053,2026-08-23,Add to Cart,Google,0
I00053,C0054,2026-08-24,Purchase,Meta,0
I00054,C0055,2026-08-25,Repeat Purchase,Email,0
I00055,C0056,2026-08-26,Loyal Customer,Organic,1
I00056,C0057,2026-08-27,Awareness,Google,0
I00057,C0058,2026-08-28,Website Visit,Meta,0
I00058,C0059,2026-08-29,Product View,Email,0
I00059,C0060,2026-08-30,Add to Cart,Organic,0
I00060,C0061,2026-08-01,Purchase,Google,1
I00061,C0062,2026-08-02,Repeat Purchase,Meta,0
I00062,C0063,2026-08-03,Loyal Customer,Email,0
I00063,C0064,2026-08-04,Awareness,Organic,0
I00064,C0065,2026-08-05,Website Visit,Google,0
I00065,C0066,2026-08-06,Product View,Meta,1
I00066,C0067,2026-08-07,Add to Cart,Email,0
I00067,C0068,2026-08-08,Purchase,Organic,0
I00068,C0069,2026-08-09,Repeat Purchase,Google,0
I00069,C0070,2026-08-10,Loyal Customer,Meta,0
I00070,C0071,2026-08-11,Awareness,Email,1
I00071,C0072,2026-08-12,Website Visit,Organic,0
I00072,C0073,2026-08-13,Product View,Google,0
I00073,C0074,2026-08-14,Add to Cart,Meta,0
I00074,C0075,2026-08-15,Purchase,Email,0
I00075,C0076,2026-08-16,Repeat Purchase,Organic,1
I00076,C0077,2026-08-17,Loyal Customer,Google,0
I00077,C0078,2026-08-18,Awareness,Meta,0
I00078,C0079,2026-08-19,Website Visit,Email,0
I00079,C0080,2026-08-20,Product View,Organic,0
I00080,C0081,2026-08-21,Add to Cart,Google,1
I00081,C0082,2026-08-22,Purchase,Meta,0
I00082,C0083,2026-08-23,Repeat Purchase,Email,0
I00083,C0084,2026-08-24,Loyal Customer,Organic,0
I00084,C0085,2026-08-25,Awareness,Google,0
I00085,C0086,2026-08-26,Website Visit,Meta,1
I00086,C0087,2026-08-27,Product View,Email,0
I00087,C0088,2026-08-28,Add to Cart,Organic,0
I00088,C0089,2026-08-29,Purchase,Google,0
I00089,C0090,2026-08-30,Repeat Purchase,Meta,0
I00090,C0091,2026-08-01,Loyal Customer,Email,1
I00091,C0092,2026-08-02,Awareness,Organic,0
I00092,C0093,2026-08-03,Website Visit,Google,0
I00093,C0094,2026-08-04,Product View,Meta,0
I00094,C0095,2026-08-05,Add to Cart,Email,0
I00095,C0096,2026-08-06,Purchase,Organic,1
I00096,C0097,2026-08-07,Repeat Purchase,Google,0
I00097,C0098,2026-08-08,Loyal Customer,Meta,0
I00098,C0099,2026-08-09,Awareness,Email,0
I00099,C0100,2026-08-10,Website Visit,Organic,0
I00100,C0001,2026-08-11,Product View,Google,1
I00101,C0002,2026-08-12,Add to Cart,Meta,0
I00102,C0003,2026-08-13,Purchase,Email,0
I00103,C0004,2026-08-14,Repeat Purchase,Organic,0
I00104,C0005,2026-08-15,Loyal Customer,Google,0
I00105,C0006,2026-08-16,Awareness,Meta,1
I00106,C0007,2026-08-17,Website Visit,Email,0
I00107,C0008,2026-08-18,Product View,Organic,0
I00108,C0009,2026-08-19,Add to Cart,Google,0
I00109,C0010,2026-08-20,Purchase,Meta,0
I00110,C0011,2026-08-21,Repeat Purchase,Email,1
I00111,C0012,2026-08-22,Loyal Customer,Organic,0
I00112,C0013,2026-08-23,Awareness,Google,0
I00113,C0014,2026-08-24,Website Visit,Meta,0
I00114,C0015,2026-08-25,Product View,Email,0
I00115,C0016,2026-08-26,Add to Cart,Organic,1
I00116,C0017,2026-08-27,Purchase,Google,0
