activity_id,channel,date,estimated_emissions
S0001,Meta,2026-08-02,26
S0002,Display,2026-08-03,27
S0003,Email,2026-08-04,28
S0004,Google,2026-08-05,29
S0005,Meta,2026-08-06,30
S0006,Display,2026-08-07,31
S0007,Email,2026-08-08,32
S0008,Google,2026-08-09,33
S0009,Meta,2026-08-10,34
S0010,Display,2026-08-11,35
S0011,Email,2026-08-12,36
S0012,Google,2026-08-13,37
S0013,Meta,2026-08-14,38
S0014,Display,2026-08-15,39
S0015,Email,2026-08-16,40
S0016,Google,2026-08-17,41
S0017,Meta,2026-08-18,42
S0018,Display,2026-08-19,43
S0019,Email,2026-08-20,44
S0020,Google,2026-08-21,45
S0021,Meta,2026-08-22,46
S0022,Display,2026-08-23,47
S0023,Email,2026-08-24,48
S0024,Google,2026-08-25,49
S0025,Meta,2026-08-26,50
S0026,Display,2026-08-27,51
S0027,Email,2026-08-28,52
S0028,Google,2026-08-29,53
S0029,Meta,2026-08-30,54
S0030,Display,2026-08-01,25
S0031,Email,2026-08-02,26
S0032,Google,2026-08-03,27
S0033,Meta,2026-08-04,28
S0034,Display,2026-08-05,29
S0035,Email,2026-08-06,30
S0036,Google,2026-08-07,31
S0037,Meta,2026-08-08,32
S0038,Display,2026-08-09,33
S0039,Email,2026-08-10,34
S0040,Google,2026-08-11,35
S0041,Meta,2026-08-12,36
S0042,Display,2026-08-13,37
S0043,Email,2026-08-14,38
S0044,Google,2026-08-15,39
S0045,Meta,2026-08-16,40
S0046,Display,2026-08-17,41
S0047,Email,2026-08-18,42
S0048,Google,2026-08-19,43
S0049,Meta,2026-08-20,44
S0050,Display,2026-08-21,45
S0051,Email,2026-08-22,46
S0052,Google,2026-08-23,47
S0053,Meta,2026-08-24,48
S0054,Display,2026-08-25,49
S0055,Email,2026-08-26,50
S0056,Google,2026-08-27,51
S0057,Meta,2026-08-28,52
S0058,Display,2026-08-29,53
S0059,Email,2026-08-30,54
S0060,Google,2026-08-01,25
S0061,Meta,2026-08-02,26
S0062,Display,2026-08-03,27
S0063,Email,2026-08-04,28
S0064,Google,2026-08-05,29
S0065,Meta,2026-08-06,30
S0066,Display,2026-08-07,31
S0067,Email,2026-08-08,32
S0068,Google,2026-08-09,33
S0069,Meta,2026-08-10,34
S0070,Display,2026-08-11,35
S0071,Email,2026-08-12,36
S0072,Google,2026-08-13,37
S0073,Meta,2026-08-14,38
S0074,Display,2026-08-15,39
S0075,Email,2026-08-16,40
S0076,Google,2026-08-17,41
S0077,Meta,2026-08-18,42
S0078,Display,2026-08-19,43
S0079,Email,2026-08-20,44
S0080,Google,2026-08-21,45
S0081,Meta,2026-08-22,46
S0082,Display,2026-08-23,47
S0083,Email,2026-08-24,48
S0084,Google,2026-08-25,49
S0085,Meta,2026-08-26,50
S0086,Display,2026-08-27,51
S0087,Email,2026-08-28,52
S0088,Google,2026-08-29,53
S0089,Meta,2026-08-30,54
S0090,Display,2026-08-01,25
S0091,Email,2026-08-02,26
S0092,Google,2026-08-03,27
S0093,Meta,2026-08-04,28
S0094,Display,2026-08-05,29
S0095,Email,2026-08-06,30
S0096,Google,2026-08-07,31
S0097,Meta,2026-08-08,32
S0098,Display,2026-08-09,33
S0099,Email,2026-08-10,34
S0100,Google,2026-08-11,35
