transaction_id,customer_id,date,amount,quantity
T00001,C0002,2026-08-02,1150,2
T00002,C0003,2026-08-03,1500,3
T00003,C0004,2026-08-04,1850,1
T00004,C0005,2026-08-05,2200,2
T00005,C0006,2026-08-06,2550,3
T00006,C0007,2026-08-07,2900,1
T00007,C0008,2026-08-08,3250,2
T00008,C0009,2026-08-09,3600,3
T00009,C0010,2026-08-10,3950,1
T00010,C0011,2026-08-11,4300,2
T00011,C0012,2026-08-12,4650,3
T00012,C0013,2026-08-13,5000,1
T00013,C0014,2026-08-14,800,2
T00014,C0015,2026-08-15,1150,3
T00015,C0016,2026-08-16,1500,1
T00016,C0017,2026-08-17,1850,2
T00017,C0018,2026-08-18,2200,3
T00018,C0019,2026-08-19,2550,1
T00019,C0020,2026-08-20,2900,2
T00020,C0021,2026-08-21,3250,3
T00021,C0022,2026-08-22,3600,1
T00022,C0023,2026-08-23,3950,2
T00023,C0024,2026-08-24,4300,3
T00024,C0025,2026-08-25,4650,1
T00025,C0026,2026-08-26,5000,2
T00026,C0027,2026-08-27,800,3
T00027,C0028,2026-08-28,1150,1
T00028,C0029,2026-08-29,1500,2
T00029,C0030,2026-08-30,1850,3
T00030,C0031,2026-08-01,2200,1
T00031,C0032,2026-08-02,2550,2
T00032,C0033,2026-08-03,2900,3
T00033,C0034,2026-08-04,3250,1
T00034,C0035,2026-08-05,3600,2
T00035,C0036,2026-08-06,3950,3
T00036,C0037,2026-08-07,4300,1
T00037,C0038,2026-08-08,4650,2
T00038,C0039,2026-08-09,5000,3
T00039,C0040,2026-08-10,800,1
T00040,C0041,2026-08-11,1150,2
T00041,C0042,2026-08-12,1500,3
T00042,C0043,2026-08-13,1850,1
T00043,C0044,2026-08-14,2200,2
T00044,C0045,2026-08-15,2550,3
T00045,C0046,2026-08-16,2900,1
T00046,C0047,2026-08-17,3250,2
T00047,C0048,2026-08-18,3600,3
T00048,C0049,2026-08-19,3950,1
T00049,C0050,2026-08-20,4300,2
T00050,C0051,2026-08-21,4650,3
T00051,C0052,2026-08-22,5000,1
T00052,C0053,2026-08-23,800,2
T00053,C0054,2026-08-24,1150,3
T00054,C0055,2026-08-25,1500,1
T00055,C0056,2026-08-26,1850,2
T00056,C0057,2026-08-27,2200,3
